Feedback_ID,Complaint_Time_Approx,Text_Content,Simulated_NER_Bus_ID
900081,13-11-2025 16:30,Driver of KA-01-AB-0101 was aggressive when asked for the stop. Unprofessional behavior.,KA-01-AB-0101
900082,13-11-2025 15:26,Excellent journey on Bus KA-01-AB-0105 this morning. Everything was comfortable.,KA-01-AB-0105
900083,13-11-2025 16:02,Excellent journey on Route R12B this morning. Everything was comfortable.,
900084,13-11-2025 13:30,Driver of KA-01-AB-0105 was skipping stops when asked for the stop. Unprofessional behavior.,KA-01-AB-0105
900085,13-11-2025 07:48,Seriously packed from Silk_Board. Trip on R7C should not let in so many passengers. daily struggle,KA-01-AB-0102
900086,13-11-2025 17:11,Driver of KA-01-AB-0101 was unprofessional when asked for the stop. Unprofessional behavior.,
900087,13-11-2025 10:04,Driver of KA-01-AB-0104 was aggressive when asked for the stop. Unprofessional behavior.,KA-01-AB-0104
900088,13-11-2025 13:54,Checked the app 3 times. Still tracker broken for Bus KA-01-AB-0105. Makes the whole system unreliable. pls respond,KA-01-AB-0105
900089,13-11-2025 14:43,Seriously packed from Koramangala. Route R12B should not let in so many passengers.,KA-01-AB-0104
900090,13-11-2025 07:44,Bus KA-01-AB-0103 is took forever by 27 mins near Koramangala. The schedule is a joke.,KA-01-AB-0103
900091,13-11-2025 17:05,The dirty floor is disgusting. Bus KA-01-AB-0102 needs maintenance asap.,KA-01-AB-0102
900092,13-11-2025 12:47,Driver of KA-01-AB-0101 was rude when asked for the stop. Unprofessional behavior.,KA-01-AB-0101
900093,13-11-2025 12:22,Bus KA-01-AB-0104 is late by 25 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0104
900094,13-11-2025 12:41,Checked the app 3 times. Still no information for Trip on R12B. Makes the whole system unreliable. \#Traffic,KA-01-AB-0102
900095,13-11-2025 07:54,Excellent journey on Route R12B this morning. Everything was clean.,KA-01-AB-0103
900096,13-11-2025 11:15,Driver of KA-01-AB-0102 was skipping stops when asked for the stop. Unprofessional behavior. daily struggle,KA-01-AB-0102
900097,13-11-2025 12:21,Bus KA-01-AB-0101 is late by 43 mins near Whitefield. The schedule is a joke.,KA-01-AB-0101
900098,13-11-2025 14:40,Seriously sardine can from Silk_Board. Trip on R12B should not let in so many passengers.,
900099,13-11-2025 07:17,Seriously full from Whitefield. Route R7C should not let in so many passengers.,
900100,13-11-2025 15:54,Checked the app 3 times. Still app not working for Trip on R12B. Makes the whole system unreliable. \@Official,KA-01-AB-0103
900101,13-11-2025 11:35,Seriously no space to move from Koramangala. Route R7C should not let in so many passengers.,KA-01-AB-0102
900102,13-11-2025 08:18,Route R12B is took forever by 30 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0104
900103,13-11-2025 14:40,Checked the app 3 times. Still app not working for Bus KA-01-AB-0102. Makes the whole system unreliable.,KA-01-AB-0102
900104,13-11-2025 11:02,Excellent journey on Bus KA-01-AB-0101 this morning. Everything was clean.,
900105,13-11-2025 09:41,Seriously no space to move from Whitefield. Trip on R7C should not let in so many passengers.,KA-01-AB-0105
900106,13-11-2025 15:26,Checked the app 3 times. Still no information for Route R7C. Makes the whole system unreliable.,KA-01-AB-0104
900107,13-11-2025 08:18,Trip on R12B is off schedule by 22 mins near Silk_Board. The schedule is a joke. \#Traffic,KA-01-AB-0102
900108,13-11-2025 12:21,Bus KA-01-AB-0105 is late by 37 mins near Whitefield. The schedule is a joke.,
900109,13-11-2025 09:47,Checked the app 3 times. Still no information for Route R7C. Makes the whole system unreliable.,KA-01-AB-0101
900110,13-11-2025 17:58,Seriously overcrowded from Shivaji_Nagar. Route R12B should not let in so many passengers. daily struggle,
900111,13-11-2025 17:50,Driver of KA-01-AB-0103 was aggressive when asked for the stop. Unprofessional behavior.,KA-01-AB-0103
900112,13-11-2025 07:46,Driver of KA-01-AB-0101 was rude when asked for the stop. Unprofessional behavior. \#Traffic,KA-01-AB-0101
900113,13-11-2025 07:55,Checked the app 3 times. Still no ETA for Route R7C. Makes the whole system unreliable.,KA-01-AB-0102
900114,13-11-2025 10:26,Driver of KA-01-AB-0101 was unprofessional when asked for the stop. Unprofessional behavior.,
900115,13-11-2025 15:53,Driver of KA-01-AB-0102 was rude when asked for the stop. Unprofessional behavior. \@Official,
900116,13-11-2025 07:30,Checked the app 3 times. Still no real-time update for Route R12B. Makes the whole system unreliable. \#Traffic,KA-01-AB-0104
900117,13-11-2025 17:35,Bus KA-01-AB-0104 is delayed by 30 mins near MG_Road. The schedule is a joke.,KA-01-AB-0104
900118,13-11-2025 17:37,Checked the app 3 times. Still tracker broken for Bus KA-01-AB-0101. Makes the whole system unreliable. pls respond,KA-01-AB-0101
900119,13-11-2025 17:00,Checked the app 3 times. Still no ETA for Trip on R12B. Makes the whole system unreliable.,KA-01-AB-0104
900120,13-11-2025 14:53,Seriously overcrowded from Shivaji_Nagar. Bus KA-01-AB-0102 should not let in so many passengers.,KA-01-AB-0102
900121,13-11-2025 13:43,Route R5A is running behind by 28 mins near Koramangala. The schedule is a joke.,KA-01-AB-0104
900122,13-11-2025 15:27,Excellent journey on Bus KA-01-AB-0103 this morning. Everything was on time. daily struggle,
900123,13-11-2025 13:40,Excellent journey on Route R7C this morning. Everything was clean.,KA-01-AB-0101
900124,13-11-2025 13:28,The leaking roof is disgusting. Bus KA-01-AB-0102 needs maintenance asap.,KA-01-AB-0102
900125,13-11-2025 13:30,Driver of KA-01-AB-0104 was rude when asked for the stop. Unprofessional behavior.,KA-01-AB-0104
900126,13-11-2025 18:40,Seriously sardine can from Silk_Board. Bus KA-01-AB-0102 should not let in so many passengers.,
900127,13-11-2025 11:12,Seriously overcrowded from Koramangala. Route R7C should not let in so many passengers.,KA-01-AB-0102
900128,13-11-2025 13:58,Bus KA-01-AB-0103 is late by 43 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0103
900129,13-11-2025 14:29,Seriously sardine can from Shivaji_Nagar. Route R5A should not let in so many passengers.,KA-01-AB-0101
900130,13-11-2025 16:17,Trip on R5A is late by 18 mins near Shivaji_Nagar. The schedule is a joke.,
900131,13-11-2025 15:59,Excellent journey on Route R5A this morning. Everything was clean.,
900132,13-11-2025 09:07,Seriously no space to move from Shivaji_Nagar. Route R7C should not let in so many passengers.,KA-01-AB-0105
900133,13-11-2025 12:58,Route R7C is took forever by 37 mins near Koramangala. The schedule is a joke.,KA-01-AB-0104
900134,13-11-2025 18:42,Checked the app 3 times. Still app not working for Trip on R12B. Makes the whole system unreliable.,KA-01-AB-0103
900135,13-11-2025 16:32,Seriously packed from Shivaji_Nagar. Trip on R5A should not let in so many passengers. pls respond,KA-01-AB-0102
900136,13-11-2025 11:59,Seriously packed from Shivaji_Nagar. Trip on R12B should not let in so many passengers.,
900137,13-11-2025 09:05,Seriously packed from Shivaji_Nagar. Bus KA-01-AB-0104 should not let in so many passengers.,KA-01-AB-0104
900138,13-11-2025 11:39,Driver of KA-01-AB-0102 was skipping stops when asked for the stop. Unprofessional behavior.,
900139,13-11-2025 11:06,Excellent journey on Route R12B this morning. Everything was courteous. daily struggle,KA-01-AB-0103
900140,13-11-2025 18:36,Trip on R5A is off schedule by 18 mins near Shivaji_Nagar. The schedule is a joke. \#Traffic,KA-01-AB-0102
900141,13-11-2025 16:11,Bus KA-01-AB-0105 is delayed by 35 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0105
900142,13-11-2025 09:44,Checked the app 3 times. Still no ETA for Route R12B. Makes the whole system unreliable. \@Official,
900143,13-11-2025 16:32,Bus KA-01-AB-0101 is running behind by 37 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0101
900144,13-11-2025 12:57,Checked the app 3 times. Still no real-time update for Bus KA-01-AB-0105. Makes the whole system unreliable.,KA-01-AB-0105
900145,13-11-2025 15:17,Seriously full from Koramangala. Route R5A should not let in so many passengers.,KA-01-AB-0102
900146,13-11-2025 17:41,Route R7C is delayed by 37 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0105
900147,13-11-2025 15:12,Driver of KA-01-AB-0102 was rude when asked for the stop. Unprofessional behavior.,KA-01-AB-0102
900148,13-11-2025 15:17,Excellent journey on Route R5A this morning. Everything was clean.,KA-01-AB-0105
900149,13-11-2025 11:44,Excellent journey on Route R12B this morning. Everything was on time.,
900150,13-11-2025 15:33,Trip on R5A is took forever by 12 mins near MG_Road. The schedule is a joke.,KA-01-AB-0102
900151,13-11-2025 11:00,Excellent journey on Bus KA-01-AB-0102 this morning. Everything was courteous.,KA-01-AB-0102
900152,13-11-2025 09:04,Checked the app 3 times. Still no information for Trip on R5A. Makes the whole system unreliable.,
900153,13-11-2025 18:06,Checked the app 3 times. Still app not working for Trip on R7C. Makes the whole system unreliable.,KA-01-AB-0101
900154,13-11-2025 15:47,Seriously packed from Silk_Board. Trip on R7C should not let in so many passengers. pls respond,KA-01-AB-0102
900155,13-11-2025 17:25,Route R5A is off schedule by 38 mins near Koramangala. The schedule is a joke.,KA-01-AB-0101
900156,13-11-2025 09:01,Seriously sardine can from Whitefield. Route R12B should not let in so many passengers.,
900157,13-11-2025 08:27,Trip on R7C is off schedule by 28 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0102
900158,13-11-2025 17:23,Driver of KA-01-AB-0101 was rude when asked for the stop. Unprofessional behavior.,
900159,13-11-2025 08:59,Seriously packed from Whitefield. Bus KA-01-AB-0103 should not let in so many passengers.,KA-01-AB-0103
900160,13-11-2025 16:15,Bus KA-01-AB-0103 is running behind by 22 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0103
900161,13-11-2025 08:26,Seriously no space to move from Silk_Board. Trip on R12B should not let in so many passengers.,KA-01-AB-0103
900162,13-11-2025 10:07,Seriously no space to move from Marathahalli. Route R7C should not let in so many passengers.,KA-01-AB-0101
900163,13-11-2025 09:27,Excellent journey on Bus KA-01-AB-0101 this morning. Everything was great service.,KA-01-AB-0101
900164,13-11-2025 15:43,Checked the app 3 times. Still app not working for Bus KA-01-AB-0101. Makes the whole system unreliable.,KA-01-AB-0101
900165,13-11-2025 07:54,Driver of KA-01-AB-0104 was aggressive when asked for the stop. Unprofessional behavior.,
900166,13-11-2025 17:23,Seriously overcrowded from Shivaji_Nagar. Bus KA-01-AB-0103 should not let in so many passengers.,
900167,13-11-2025 12:20,Checked the app 3 times. Still no real-time update for Route R7C. Makes the whole system unreliable.,KA-01-AB-0102
900168,13-11-2025 11:42,Bus KA-01-AB-0105 is running behind by 19 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0105
900169,13-11-2025 17:06,The leaking roof is disgusting. Bus KA-01-AB-0101 needs maintenance asap. \@Official,
900170,13-11-2025 07:56,Seriously no space to move from MG_Road. Trip on R7C should not let in so many passengers. daily struggle,
900171,13-11-2025 13:32,Seriously sardine can from Marathahalli. Bus KA-01-AB-0105 should not let in so many passengers.,
900172,13-11-2025 18:50,Bus KA-01-AB-0103 is off schedule by 43 mins near Silk_Board. The schedule is a joke. \#Traffic,KA-01-AB-0103
900173,13-11-2025 08:48,Driver of KA-01-AB-0104 was skipping stops when asked for the stop. Unprofessional behavior.,KA-01-AB-0104
900174,13-11-2025 09:28,Bus KA-01-AB-0101 is late by 19 mins near Shivaji_Nagar. The schedule is a joke.,
900175,13-11-2025 17:21,Trip on R7C is late by 45 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0105
900176,13-11-2025 07:46,Bus KA-01-AB-0104 is late by 38 mins near MG_Road. The schedule is a joke. daily struggle,KA-01-AB-0104
900177,13-11-2025 18:22,Seriously full from Marathahalli. Route R7C should not let in so many passengers.,
900178,13-11-2025 17:08,Excellent journey on Bus KA-01-AB-0101 this morning. Everything was on time.,
900179,13-11-2025 18:58,Driver of KA-01-AB-0103 was unprofessional when asked for the stop. Unprofessional behavior. \#Traffic,
900180,13-11-2025 18:52,Excellent journey on Bus KA-01-AB-0102 this morning. Everything was comfortable. pls respond,KA-01-AB-0102
900181,13-11-2025 15:12,The no fan is disgusting. Bus KA-01-AB-0105 needs maintenance asap.,KA-01-AB-0105
900182,13-11-2025 14:57,Trip on R5A is off schedule by 29 mins near MG_Road. The schedule is a joke.,KA-01-AB-0104
900183,13-11-2025 07:16,Driver of KA-01-AB-0104 was unprofessional when asked for the stop. Unprofessional behavior.,KA-01-AB-0104
900184,13-11-2025 16:39,Bus KA-01-AB-0103 is delayed by 36 mins near Whitefield. The schedule is a joke.,
900185,13-11-2025 17:52,Seriously sardine can from Koramangala. Trip on R5A should not let in so many passengers.,KA-01-AB-0102
900186,13-11-2025 17:23,Excellent journey on Trip on R5A this morning. Everything was on time. pls respond,KA-01-AB-0105
900187,13-11-2025 14:15,Checked the app 3 times. Still no information for Route R5A. Makes the whole system unreliable.,KA-01-AB-0103
900188,13-11-2025 16:53,Driver of KA-01-AB-0102 was not helpful when asked for the stop. Unprofessional behavior. \#Traffic,
900189,13-11-2025 14:17,Checked the app 3 times. Still tracker broken for Bus KA-01-AB-0103. Makes the whole system unreliable.,KA-01-AB-0103
900190,13-11-2025 10:50,Seriously full from Koramangala. Route R12B should not let in so many passengers.,KA-01-AB-0104
900191,13-11-2025 11:21,Bus KA-01-AB-0101 is took forever by 15 mins near Shivaji_Nagar. The schedule is a joke. \#Traffic,KA-01-AB-0101
900192,13-11-2025 18:25,The lights out is disgusting. Bus KA-01-AB-0104 needs maintenance asap.,
900193,13-11-2025 09:09,Seriously packed from Silk_Board. Bus KA-01-AB-0101 should not let in so many passengers.,
900194,13-11-2025 13:16,Driver of KA-01-AB-0102 was skipping stops when asked for the stop. Unprofessional behavior.,KA-01-AB-0102
900195,13-11-2025 11:38,Seriously packed from Koramangala. Bus KA-01-AB-0104 should not let in so many passengers.,KA-01-AB-0104
900196,13-11-2025 18:25,Route R12B is off schedule by 24 mins near Marathahalli. The schedule is a joke. \@Official,
900197,13-11-2025 16:41,Seriously packed from Shivaji_Nagar. Trip on R5A should not let in so many passengers.,KA-01-AB-0102
900198,13-11-2025 16:15,Route R12B is running behind by 43 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0103
900199,13-11-2025 08:37,Bus KA-01-AB-0105 is late by 45 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0105
900200,13-11-2025 14:06,Checked the app 3 times. Still no information for Bus KA-01-AB-0102. Makes the whole system unreliable.,
900201,13-11-2025 14:13,Bus KA-01-AB-0103 is delayed by 16 mins near Whitefield. The schedule is a joke.,KA-01-AB-0103
900202,13-11-2025 08:16,Checked the app 3 times. Still no information for Trip on R7C. Makes the whole system unreliable.,KA-01-AB-0103
900203,13-11-2025 08:50,Bus KA-01-AB-0101 is took forever by 31 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0101
900204,13-11-2025 11:19,Seriously overcrowded from Koramangala. Trip on R12B should not let in so many passengers.,
900205,13-11-2025 13:13,Checked the app 3 times. Still no ETA for Route R7C. Makes the whole system unreliable. \@Official,KA-01-AB-0103
900206,13-11-2025 07:59,Driver of KA-01-AB-0101 was unprofessional when asked for the stop. Unprofessional behavior.,
900207,13-11-2025 07:30,Bus KA-01-AB-0102 is delayed by 42 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0102
900208,13-11-2025 07:17,Seriously sardine can from Koramangala. Route R5A should not let in so many passengers.,KA-01-AB-0103
900209,13-11-2025 14:22,Route R12B is off schedule by 12 mins near Silk_Board. The schedule is a joke.,KA-01-AB-0101
900210,13-11-2025 10:52,Route R7C is running behind by 27 mins near Whitefield. The schedule is a joke.,KA-01-AB-0102
900211,13-11-2025 09:02,Seriously full from Marathahalli. Route R7C should not let in so many passengers. daily struggle,KA-01-AB-0105
900212,13-11-2025 07:33,Trip on R5A is took forever by 31 mins near Silk_Board. The schedule is a joke.,
900213,13-11-2025 11:44,Checked the app 3 times. Still no information for Trip on R5A. Makes the whole system unreliable.,KA-01-AB-0104
900214,13-11-2025 18:55,Excellent journey on Bus KA-01-AB-0103 this morning. Everything was on time.,KA-01-AB-0103
900215,13-11-2025 16:52,Route R7C is late by 26 mins near Koramangala. The schedule is a joke.,KA-01-AB-0103
900216,13-11-2025 09:53,Driver of KA-01-AB-0101 was aggressive when asked for the stop. Unprofessional behavior.,KA-01-AB-0101
900217,13-11-2025 09:45,Bus KA-01-AB-0105 is took forever by 12 mins near Whitefield. The schedule is a joke.,KA-01-AB-0105
900218,13-11-2025 11:36,Seriously overcrowded from MG_Road. Bus KA-01-AB-0105 should not let in so many passengers. pls respond,
900219,13-11-2025 07:22,Excellent journey on Trip on R12B this morning. Everything was clean. pls respond,KA-01-AB-0102
900220,13-11-2025 15:23,Bus KA-01-AB-0101 is late by 37 mins near Shivaji_Nagar. The schedule is a joke.,
900221,13-11-2025 10:59,Seriously full from Silk_Board. Bus KA-01-AB-0102 should not let in so many passengers.,KA-01-AB-0102
900222,13-11-2025 15:31,Seriously sardine can from Marathahalli. Bus KA-01-AB-0102 should not let in so many passengers.,KA-01-AB-0102
900223,13-11-2025 11:54,Trip on R12B is off schedule by 37 mins near Koramangala. The schedule is a joke. \#Traffic,KA-01-AB-0105
900224,13-11-2025 11:11,Trip on R7C is running behind by 45 mins near Shivaji_Nagar. The schedule is a joke.,
900225,13-11-2025 16:27,Bus KA-01-AB-0103 is took forever by 44 mins near Shivaji_Nagar. The schedule is a joke.,KA-01-AB-0103
900226,13-11-2025 12:58,Seriously packed from Marathahalli. Route R7C should not let in so many passengers.,
900227,13-11-2025 07:44,Seriously sardine can from Shivaji_Nagar. Route R5A should not let in so many passengers. daily struggle,KA-01-AB-0105
900228,13-11-2025 11:10,Checked the app 3 times. Still no ETA for Bus KA-01-AB-0104. Makes the whole system unreliable.,
900229,13-11-2025 07:41,Route R5A is late by 21 mins near Marathahalli. The schedule is a joke.,KA-01-AB-0101
900230,13-11-2025 11:51,Route R5A is delayed by 34 mins near Whitefield. The schedule is a joke.,
900231,13-11-2025 11:34,Driver of KA-01-AB-0103 was not helpful when asked for the stop. Unprofessional behavior.,KA-01-AB-0103
900232,13-11-2025 14:26,Route R5A is delayed by 38 mins near Shivaji_Nagar. The schedule is a joke. \#Traffic,KA-01-AB-0103
